Fecha;Grupo;Producto;Fuente;Precio
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1089
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita;2961
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos;535
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;1500
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá);1008
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá);1000
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquetá);1538
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21;1112
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos;1000
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia;1645
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;1822
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);2000
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;1531
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Sogamoso (Boyacá);1000
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;888
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Ubaté (Cundinamarca);750
1/01/2018;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1068
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Arauca (Arauca);1000
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;864
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Barranquillita;643
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Granabastos;650
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos;991
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;600
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);975
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;852
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Helena;850
1/01/2018;VERDURAS Y HORTALIZAS;Ahuyama;Cartagena, Bazurto;624
