Fecha;Grupo;Producto;Fuente;Precio_por_kilogramo
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1065
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita;3000
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos;764
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;1556
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá);1058
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá);1000
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquetá);2000
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21;1156
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos;1437
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia;1669
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;1774
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);2000
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;2115
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Sogamoso (Boyacá);1000
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;1067
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Ubaté (Cundinamarca);875
1/01/2019;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1281
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Arauca (Arauca);939
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;817
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Barranquillita;1254
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Granabastos;1219
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos;1145
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;797
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);1158
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;900
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Helena;956
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Cartagena, Bazurto;1085
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);946
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Cúcuta, Cenabastos;962
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Duitama (Boyacá);645
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Ibagué, Plaza La 21;857
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Manizales, Centro Galerías;1017
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Medellín, Central Mayorista de Antioquia;650
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;"Medellín, Plaza Minorista ""José María Villa""";750
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca);938
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1000
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, La 41;867
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, Mercasa;1008
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Popayán, Plaza de mercado del barrio Bolívar;804
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Rionegro (Antioquia);930
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);833
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Santa Marta (Magdalena);1095
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Sincelejo, Nuevo Mercado;960
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);733
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Sogamoso (Boyacá);710
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Tuluá (Valle del Cauca);915
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Tunja, Complejo de Servicios del Sur;641
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercabastos;1120
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercado Nuevo;1020
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyama;Yopal (Casanare);933
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bogotá, D.C., Corabastos;766
1/01/2019;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bucaramanga, Centroabastos;626
