Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1706
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Bogot , D.C., Corabastos;906
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;2000
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Chiquinquir  (Boyac );1722
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyac ), Mercaplaza;1858
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquet );2733
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Ibagu‚, Plaza La 21;1840
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nari¤o), Ipiales somos todos;1808
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Medell¡n, Central Mayorista de Antioquia;1955
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;2403
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);4250
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;3375
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Pereira, Mercasa;2708
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Tibasosa (Boyac ), Coomproriente;2000
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;2038
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1950
1/01/2023;VERDURAS Y HORTALIZAS;Acelga;Yopal (Casanare);2000
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;1267
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Bogot , D.C., Corabastos;2130
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;1369
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);2137
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;1631
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Elena;1581
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);1774
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;C£cuta, Cenabastos;1658
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Duitama (Boyac ), Mercaplaza;1245
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Ibagu‚, Plaza La 21;1681
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Manizales, Centro Galer¡as;1970
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Medell¡n, Central Mayorista de Antioquia;1262
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;"Medell¡n, Plaza Minorista ""Jos‚ Mar¡a Villa""";1415
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Monter¡a, Mercado del Sur;1570
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca);1778
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1727
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, La 41;1678
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, Mercasa;1489
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Popay n, Plaza de mercado del barrio Bol¡var;1978
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1500
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Sincelejo, Nuevo Mercado;1298
