Fecha;Grupo;Producto;Mercado;Precio_por_kilogramo
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1295
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita;3544
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos;900
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;1253
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá);1408
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá);1000
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquetá);1550
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21;1258
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos;1547
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia;1049
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;1775
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);2000
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;2462
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Sogamoso (Boyacá);1167
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;1288
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Ubaté (Cundinamarca);769
1/01/2020;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1404
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Arauca (Arauca);857
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;986
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Barranquillita;825
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Granabastos;781
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos;1329
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;899
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);1467
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;1177
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Helena;1196
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Cartagena, Bazurto;952
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);1111
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Cúcuta, Cenabastos;964
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Duitama (Boyacá);779
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Ibagué, Plaza La 21;1026
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Manizales, Centro Galerías;1483
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Medellín, Central Mayorista de Antioquia;886
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;"Medellín, Plaza Minorista ""José María Villa""";801
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Montería, Mercado del Sur;461
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca);1316
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);979
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, La 41;1257
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, Mercasa;1216
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Popayán, Plaza de mercado del barrio Bolívar;1048
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Rionegro (Antioquia);1068
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);904
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Santa Marta (Magdalena);857
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Sincelejo, Nuevo Mercado;600
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);888
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Sogamoso (Boyacá);691
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Tuluá (Valle del Cauca);1195
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Tunja, Complejo de Servicios del Sur;758
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercabastos;732
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercado Nuevo;752
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyama;Yopal (Casanare);700
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bogotá, D.C., Corabastos;913
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bucaramanga, Centroabastos;551
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Duitama (Boyacá);870
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Florencia (Caquetá);1208
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Ibagué, Plaza La 21;1574
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Neiva, Surabastos;1227
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Pamplona (Norte de Santander);979
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);San Gil (Santander);731
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Sogamoso (Boyacá);791
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Tunja, Complejo de Servicios del Sur;888
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Villavicencio, CAV;1128
1/01/2020;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Yopal (Casanare);1022
1/01/2020;VERDURAS Y HORTALIZAS;Ají topito dulce;Barranquilla, Barranquillita;2906
1/01/2020;VERDURAS Y HORTALIZAS;Ají topito dulce;Cartagena, Bazurto;2621
1/01/2020;VERDURAS Y HORTALIZAS;Ají topito dulce;Medellín, Central Mayorista de Antioquia;2390
1/01/2020;VERDURAS Y HORTALIZAS;Ají topito dulce;Montería, Mercado del Sur;2858
1/01/2020;VERDURAS Y HORTALIZAS;Ají topito dulce;Sincelejo, Nuevo Mercado;2642
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Bogotá, D.C., Corabastos;15333
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Chiquinquirá (Boyacá);4350
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Cúcuta, Cenabastos;3535
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Duitama (Boyacá);4117
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Ipiales (Nariño), Ipiales somos todos;9944
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Manizales, Centro Galerías;10486
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Medellín, Central Mayorista de Antioquia;10040
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Pamplona (Norte de Santander);3459
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Pasto, El Potrerillo;7536
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Pereira, La 41;7496
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Pereira, Mercasa;8992
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;San Gil (Santander);4472
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Sogamoso (Boyacá);4281
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Tunja, Complejo de Servicios del Sur;4179
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Túquerres (Nariño);8958
1/01/2020;VERDURAS Y HORTALIZAS;Ajo;Villavicencio, CAV;8150
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Arauca (Arauca);7819
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Armenia, Mercar;7633
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Barranquillita;6725
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Granabastos;6671
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Bogotá, D.C., Corabastos;7629
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Bucaramanga, Centroabastos;6900
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca);7478
1/01/2020;VERDURAS Y HORTALIZAS;Ajo importado;Cali, Cavasa;7028
