Fecha;Grupo;Producto;Mercado;Precio_promedio_por_kilogramo
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1260
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita;4000
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos;848
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;1550
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá);1243
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá);979
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21;1408
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos;1394
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia;1376
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;2010
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);3000
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;1823
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Pereira, Mercasa;1951
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Sogamoso (Boyacá);1000
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;1145
1/01/2021;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1553
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;636
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Barranquillita;627
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Barranquilla, Granabastos;638
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos;960
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;547
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);1012
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;733
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Elena;563
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Cartagena, Bazurto;868
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);858
1/01/2021;VERDURAS Y HORTALIZAS;Ahuyama;Cúcuta, Cenabastos;834
