Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar;1150
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita;4000
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Bogot , D.C., Corabastos;560
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos;1875
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Chiquinquir  (Boyac );1296
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyac ), Mercaplaza;1067
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquet );2000
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Ibagu‚, Plaza La 21;1281
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nari¤o), Ipiales somos todos;1702
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Medell¡n, Central Mayorista de Antioquia;1513
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos;2010
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander);2313
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo;3260
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Pereira, Mercasa;2219
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Tibasosa (Boyac ), Coomproriente;1000
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur;1806
1/01/2022;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV;1546
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar;1044
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Bogot , D.C., Corabastos;1270
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos;869
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca);1792
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa;1203
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Elena;1219
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Cartagena, Bazurto;1356
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);1383
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;C£cuta, Cenabastos;1412
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Duitama (Boyac ), Mercaplaza;880
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Ibagu‚, Plaza La 21;1000
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Manizales, Centro Galer¡as;1233
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Medell¡n, Central Mayorista de Antioquia;793
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;"Medell¡n, Plaza Minorista ""Jos‚ Mar¡a Villa""";1100
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Monter¡a, Mercado del Sur;767
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca);1384
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1117
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, La 41;1283
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, Mercasa;1265
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Popay n, Plaza de mercado del barrio Bol¡var;1371
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Rionegro (Antioquia);1177
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1067
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Sincelejo, Nuevo Mercado;1203
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1033
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Tibasosa (Boyac ), Coomproriente;897
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Tulu  (Valle del Cauca);1230
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Tunja, Complejo de Servicios del Sur;670
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercabastos;1164
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercado Nuevo;1120
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyama;Yopal (Casanare);1200
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Arauca (Arauca);1100
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Bogot , D.C., Corabastos;797
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Bucaramanga, Centroabastos;658
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Duitama (Boyac ), Mercaplaza;1188
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Florencia (Caquet );1177
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Ibagu‚, Plaza La 21;1581
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Neiva, Surabastos;1062
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Pamplona (Norte de Santander);1206
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);San Gil (Santander);944
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Tibasosa (Boyac ), Coomproriente;911
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Tunja, Complejo de Servicios del Sur;970
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Villavicencio, CAV;948
1/01/2022;VERDURAS Y HORTALIZAS;Ahuyam¡n (Sakata);Yopal (Casanare);1160
1/01/2022;VERDURAS Y HORTALIZAS;Aj¡ topito dulce;Cartagena, Bazurto;3673
1/01/2022;VERDURAS Y HORTALIZAS;Aj¡ topito dulce;Medell¡n, Central Mayorista de Antioquia;4279
